submissionID,title,authors,track,acceptanceStatus,submissionType
3358,A Bilingual Generative Transformer for Semantic Sentence Embedding,"John Wieting, Graham Neubig and Taylor Berg-Kirkpatrick","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
2377,A Centering Approach for Discourse Structure-aware Coherence Modeling,Sungho Jeon and Michael Strube,Discourse and Pragmatics,Accept,Long Paper
2707,A Computational Approach to Understanding Empathy Expressed in Text-Based Mental Health Support,"Ashish Sharma, Adam Miner, David Atkins and Tim Althoff",Computational Social Science and Social Media,Accept,Long Paper
3032,A Dataset for Tracking Entities in Open Domain Procedural Text,"Niket Tandon, Keisuke Sakaguchi, Bhavana Dalvi, Dheeraj Rajagopal, Peter Clark, Michal Guerquin, Kyle Richardson and Eduard Hovy",Information Extraction,Accept,Long Paper
958,A Diagnostic Study of Explainability Techniques for Text Classification,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma and Isabelle Augenstein",Interpretability and Analysis of Models for NLP,Accept,Long Paper
930,A Joint Multiple Criteria Model in Transfer Learning for Cross-domain Chinese Word Segmentation,"Kaiyu Huang, Degen Huang, Zhuang Liu and Fengran Mo","Phonology, Morphology and Word Segmentation",Accept,Long Paper
1010,A Knowledge-Aware Sequence-to-Tree Network for Math Word Problem Solving,"Qinzhuo Wu, Qi Zhang, Jinlan Fu and Xuanjing Huang",NLP Applications,Accept,Long Paper
3651,A Knowledge-driven Generative Model for Multi-implication Chinese Medical Procedure Entity Normalization,"Jinghui Yan, Yining Wang, Lu Xiang, Yu Zhou and Chengqing Zong",NLP Applications,Accept,Long Paper
2746,A Massive Collection of Cross-Lingual Web-Document Pairs,"Ahmed El-Kishky, Vishrav Chaudhary, Francisco Guzmán and Philipp Koehn",Machine Translation and Multilinguality,Accept,Long Paper
498,A Matter of Framing: The Impact of Linguistic Formalism on Probing Results,Ilia Kuznetsov and Iryna Gurevych,Interpretability and Analysis of Models for NLP,Accept,Long Paper
3057,A Method for Building a Commonsense Inference Dataset based on Basic Events,"Kazumasa Omura, Daisuke Kawahara and Sadao Kurohashi","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
1217,A Multi-Task Incremental Learning Framework with Category Name Embedding for Aspect-Category Sentiment Analysis,"Zehui Dai, Cheng Peng, Huajie Chen and Yadong Ding","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
3497,A Predicate-Function-Argument Annotation of Natural Language for Open-Domain Information Expression,"Mingming Sun, Wenyue Hua, Zoe Liu, Xin Wang, kangjie zheng and Ping Li",Information Extraction,Accept,Long Paper
3318,A Probabilistic End-To-End Task-Oriented Dialog Model with Latent Belief States towards Semi-Supervised Learning,"Yichi Zhang, Zhijian Ou, Min Hu and Junlan Feng",Dialog and Interactive Systems,Accept,Long Paper
1974,A Rigorous Study on Named Entity Recognition: Can Fine-tuning Pretrained Model Lead to the Promised Land?,"Hongyu Lin, Yaojie Lu, Jialong Tang, Xianpei Han, Le Sun, Zhicheng Wei and Nicholas Jing Yuan",Information Extraction,Accept,Long Paper
2900,A Spectral Method for Unsupervised Multi-Document Summarization,"Kexiang Wang, Baobao Chang and Zhifang Sui",Multidisciplinary and AC COI,Accept,Long Paper
3438,A State-independent and Time-evolving Network with Applications to Early Rumor Detection,"Rui Xia, Kaizhou Xuan and Jianfei Yu",NLP Applications,Accept,Long Paper
1503,A Supervised Word Alignment Method based on Cross-Language Span Prediction using Multilingual BERT,"Masaaki Nagata, Katsuki Chousa and Masaaki Nishino",Machine Translation and Multilinguality,Accept,Long Paper
298,A Synset Relation-enhanced Framework with a Try-again Mechanism for Word Sense Disambiguation,Ming Wang and Yinglin Wang,Semantics: Lexical Semantics,Accept,Long Paper
2510,A Time-Aware Transformer based model for Suicide Ideation Detection on Social Media,"Ramit Sawhney, Harshit Joshi, Saumya Gandhi and Rajiv Ratn Shah",Computational Social Science and Social Media,Accept,Long Paper
2927,A Visually-grounded First-person Dialogue Dataset with Verbal and Non-verbal Responses,"Hisashi Kamezawa, Noriki Nishida, Nobuyuki Shimizu, Takashi Miyazaki and Hideki Nakayama","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
1694,Accurate Word Alignment Induction from Neural Machine Translation,"Yun Chen, Yang Liu, Guanhua Chen, Xin Jiang and Qun Liu",Machine Translation and Multilinguality,Accept,Long Paper
920,Acrostic Poem Generation,Rajat Agarwal and Katharina Kann,Language Generation,Accept,Long Paper
493,Active Learning for BERT: An Empirical Study,"Liat Ein-Dor, Alon Halfon, Ariel Gera, Eyal Shnarch, Lena Dankin, Leshem Choshen, Marina Danilevsky, Ranit Aharonov, Yoav Katz and Noam Slonim",Machine Learning for NLP,Accept,Long Paper
300,Adaptive Attentional Network for Few-Shot Knowledge Graph Completion,"Jiawei Sheng, Shu Guo, Zhenyu Chen, Juwei Yue, Lihong Wang, Tingwen Liu and Hongbo Xu",Information Extraction,Accept,Long Paper
2895,Adversarial Attack and Defense of Structured Prediction Models,"Wenjuan Han, Liwen Zhang, Yong Jiang and Kewei Tu","Syntax: Tagging, Chunking, and Parsing",Accept,Long Paper
426,Adversarial Self-Supervised Data Free Distillation for Text Classification,"Xinyin Ma, Yongliang Shen, Gongfan Fang, Chen Chen, Chenghao Jia and Weiming Lu",Machine Learning for NLP,Accept,Long Paper
2005,Adversarial Semantic Collisions,"Congzheng Song, Alexander Rush and Vitaly Shmatikov",Interpretability and Analysis of Models for NLP,Accept,Long Paper
2549,Affective Event Classification with Discourse-enhanced Self-training,"Yuan Zhuang, Tianyu Jiang and Ellen Riloff","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
76,ALICE: Active Learning with Contrastive Natural Language Explanations,"Weixin Liang, James Zou and Zhou Yu","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
1061,Alignment-free Cross-lingual Semantic Role Labeling,Rui Cai and Mirella Lapata,"Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
954,Amalgamating Knowledge from Two Teachers for Task-oriented Dialogue System with Adversarial Training,"Wanwei He, Min Yang, Rui Yan, Chengming Li, Ying Shen and Ruifeng Xu",Dialog and Interactive Systems,Accept,Long Paper
1580,AmbigQA: Answering Ambiguous Open-domain Questions,"Sewon Min, Julian Michael, Hannaneh Hajishirzi and Luke Zettlemoyer",Question Answering,Accept,Long Paper
2416,An Analysis of Natural Language Inference Benchmarks through the Lens of Negation,"Md Mosharaf Hossain, Venelin Kovatchev, Pranoy Dutta, Tiffany Kao, Elizabeth Wei and Eduardo Blanco","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
2733,An Effective Data Augmentation Method for Low-resource Tagging Tasks,"BOSHENG DING, Linlin Liu, Lidong Bing, Canasai Kruengkrai, Thien Hai Nguyen, Shafiq Joty, Luo Si and Chunyan Miao","Syntax: Tagging, Chunking, and Parsing",Accept,Long Paper
2651,An Embedding Model for Estimating Legislative Preferences from the Frequency and Sentiment of Tweets,"Gregory Spell, Brian Guay, Sunshine Hillygus and Lawrence Carin",Computational Social Science and Social Media,Accept,Long Paper
3486,An Empirical Investigation of Contextualized Number Prediction,Taylor Berg-Kirkpatrick and Daniel Spokoyny,NLP Applications,Accept,Long Paper
1631,An Empirical Investigation Towards Efficient Multi-Domain Language Model Pre-training,"Kristjan Arumae, Qing Sun and Parminder Bhatia",Interpretability and Analysis of Models for NLP,Accept,Long Paper
2581,An Empirical Study of Generation Order for Machine Translation,"William Chan, Mitchell Stern, Jamie Kiros and Jakob Uszkoreit",Machine Translation and Multilinguality,Accept,Long Paper
3454,An Empirical Study of Hyperbole,"Li Kong, Chuanyi Li, Jidong Ge, Bin Luo and Vincent Ng","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
2167,An Empirical Study on Large-Scale Multi-Label Text Classification including Few and Zero-Shot Labels,"Ilias Chalkidis, Manos Fergadiotis, Sotiris Kotitsas, Prodromos Malakasiotis, Nikolaos Aletras and Ion Androutsopoulos",NLP Applications,Accept,Long Paper
2636,An Exploration of Arbitrary-Order Sequence Labeling via Energy-Based Inference Networks,"Lifu Tu, Tianyu Liu and Kevin Gimpel",Machine Learning for NLP,Accept,Long Paper
1495,An Imitation Game for Learning Semantic Parsers from User Interaction,"Ziyu Yao, Yiqi Tang, Wen-tau Yih, Huan Sun and Yu Su","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
2307,An Information Bottleneck Approach for Controlling Conciseness in Rationale Extraction,"Bhargavi Paranjape, Mandar Joshi, John Thickstun, Hannaneh Hajishirzi and Luke Zettlemoyer",Multidisciplinary and AC COI,Accept,Long Paper
1231,An Unsupervised Joint System for Text Generation from Knowledge Graphs and Semantic Parsing,"Martin Schmitt, Sahand Sharifzadeh, Volker Tresp and Hinrich Schütze",NLP Applications,Accept,Long Paper
3609,An Unsupervised Sentence Embedding Method by Mutual Information Maximization,"Yan Zhang, Ruidan He, ZUOZHU LIU, Kwan Hui Lim and Lidong Bing","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
1421,Analogous Process Structure Induction for Sub-event Sequence Prediction,"Hongming Zhang, Muhao Chen, Haoyu Wang, Yangqiu Song and Dan Roth","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
2414,Analyzing Individual Neurons in Pre-trained Language Models,"Nadir Durrani, Hassan Sajjad, Fahim Dalvi and Yonatan Belinkov",Interpretability and Analysis of Models for NLP,Accept,Long Paper
3543,Analyzing Redundancy in Pretrained Transformer Models,"Fahim Dalvi, Hassan Sajjad, Nadir Durrani and Yonatan Belinkov",Interpretability and Analysis of Models for NLP,Accept,Long Paper
2922,Annotating Temporal Dependency Graphs via Crowdsourcing,"Jiarui Yao, Haoling Qiu, Bonan Min and Nianwen Xue",Information Extraction,Accept,Long Paper
1004,AnswerFact: Fact Checking in Product Question Answering,"Wenxuan Zhang, Yang Deng, Jing Ma and Wai Lam",Question Answering,Accept,Long Paper
1901,Are All Good Word Vector Spaces Isomorphic?,"Ivan Vulić, Sebastian Ruder and Anders Søgaard",Interpretability and Analysis of Models for NLP,Accept,Long Paper
2133,Argument Pair Extraction from Peer Review and Rebuttal via Multi-task Learning,"Liying Cheng, Lidong Bing, Qian Yu, Wei Lu and Luo Si","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
1052,Asking without Telling: Exploring Latent Ontologies in Contextual Representations,"Julian Michael, Jan A. Botha and Ian Tenney",Interpretability and Analysis of Models for NLP,Accept,Long Paper
1675,Aspect-Based Sentiment Analysis by Aspect-Sentiment Joint Embedding,"Jiaxin Huang, Yu Meng, Fang Guo, Heng Ji and Jiawei Han","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
3278,Assessing Phrasal Representation and Composition in Transformers,Lang Yu and Allyson Ettinger,Interpretability and Analysis of Models for NLP,Accept,Long Paper
3344,Assessing the Helpfulness of Learning Materials with Inference-Based Learner-Like Agent,"Yun-Hsuan Jen, Chieh-Yang Huang, MeiHua Chen, Ting-Hao Huang and Lun-Wei Ku",NLP Applications,Accept,Long Paper
557,Attention Is All You Need for Chinese Word Segmentation,Sufeng Duan and Hai Zhao,"Phonology, Morphology and Word Segmentation",Accept,Long Paper
616,Attention is Not Only a Weight: Analyzing Transformers with Vector Norms,"Goro Kobayashi, Tatsuki Kuribayashi, Sho Yokoi and Kentaro Inui",Interpretability and Analysis of Models for NLP,Accept,Long Paper
787,AttnIO: Knowledge Graph Exploration with In-and-Out Attention Flow for Knowledge-Grounded Dialogue,"Jaehun Jung, Bokyung Son and Sungwon Lyu",Dialog and Interactive Systems,Accept,Long Paper
148,Augmented Natural Language for Generative Sequence Labeling,"Ben Athiwaratkun, Cícero Nogueira dos Santos, Jason Krone and Bing Xiang",Dialog and Interactive Systems,Accept,Long Paper
125,Authorship Attribution for Neural Text Generation,"Adaku Uchendu, Thai Le, Kai Shu and Dongwon Lee",NLP Applications,Accept,Long Paper
2064,Automatic Extraction of Rules Governing Morphological Agreement,"Aditi Chaudhary, Antonios Anastasopoulos, Adithya Pratapa, David R. Mortensen, Zaid Sheikh, Yulia Tsvetkov and Graham Neubig",Multidisciplinary and AC COI,Accept,Long Paper
888,Automatic Machine Translation Evaluation in Many Languages via Zero-Shot Paraphrasing,Brian Thompson and Matt Post,Machine Translation and Multilinguality,Accept,Long Paper
3506,AutoQA: From Databases To Q&A Semantic Parsers With Only Synthetic Training Data,"Silei Xu, Sina Semnani, Giovanni Campagna and Monica Lam","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
2632,Autoregressive Knowledge Distillation through Imitation Learning,"Alexander Lin, Jeremy Wohlwend, Howard Chen and Tao Lei",Machine Learning for NLP,Accept,Long Paper
1817,AxCell: Automatic Extraction of Results from Machine Learning Papers,"Marcin Kardas, Piotr Czapla, Pontus Stenetorp, Sebastian Ruder, Sebastian Riedel, Ross Taylor and Robert Stojnic",Information Extraction,Accept,Long Paper
3270,Backpropagation-based Decoding for Unsupervised Counterfactual and Abductive Reasoning,"Lianhui Qin, Vered Shwartz, Peter West, Chandra Bhagavatula, Jena D. Hwang, Ronan Le Bras, Antoine Bosselut and Yejin Choi",Language Generation,Accept,Long Paper
151,Be More with Less: Hypergraph Attention Networks for Inductive Text Classification,"Kaize Ding, Jianling Wang, Jundong Li, Dingcheng Li and Huan Liu",Machine Learning for NLP,Accept,Long Paper
1275,Benchmarking Meaning Representations in Neural Semantic Parsing,"Jiaqi Guo, Qian Liu, Jian-Guang LOU, Zhenwen Li, Xueqing Liu, Tao Xie and Ting Liu","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
2094,"BERT Knows Punta Cana is not just beautiful, it's gorgeous: Ranking Scalar Adjectives with Contextualised Representations",Aina Garí Soler and Marianna Apidianaki,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
47,BERT-ATTACK: Adversarial Attack Against BERT Using BERT,"linyang li, Ruotian Ma, Qipeng Guo, Xiangyang Xue and Xipeng Qiu",Machine Learning for NLP,Accept,Long Paper
956,BERT-EMD: Many-to-Many Layer Mapping for BERT Compression with Earth Mover's Distance,"jianquan li, Xiaokang Liu, Honghong Zhao, Ruifeng Xu, Min Yang and yaohong jin",Machine Learning for NLP,Accept,Long Paper
1141,BERT-enhanced Relational Sentence Ordering Network,"Baiyun Cui, Yingming Li and Zhongfei Zhang",Discourse and Pragmatics,Accept,Long Paper
1574,BERT-of-Theseus: Compressing BERT by Progressive Module Replacing,"Canwen Xu, Wangchunshu Zhou, Tao Ge, Furu Wei and Ming Zhou",Machine Learning for NLP,Accept,Long Paper
3389,Better Highlighting: Creating Sub-Sentence Summary Highlights,"Sangwoo Cho, Kaiqiang Song, Chen Li, Dong Yu, Hassan Foroosh and Fei Liu",Multidisciplinary and AC COI,Accept,Long Paper
3551,Beyond Geolocation: Micro-Dialect Identification in Diaglossic and Code-Switched Environments,"Muhammad Abdul-Mageed, Chiyu Zhang, AbdelRahim Elmadany and Lyle Ungar",Computational Social Science and Social Media,Accept,Long Paper
2608,Biomedical Event Extraction as Sequence Labeling,"Alan Ramponi, Rob van der Goot, Rosario Lombardo and Barbara Plank",Information Extraction,Accept,Long Paper
1009,BiST: Bi-directional Spatio-Temporal Reasoning for Video-Grounded Dialogues,"Hung Le, Doyen Sahoo, Nancy Chen and Steven C.H. Hoi",Dialog and Interactive Systems,Accept,Long Paper
3403,Blank Language Models,"Tianxiao Shen, Victor Quach, Regina Barzilay and Tommi Jaakkola",Language Generation,Accept,Long Paper
84,BLEU might be Guilty but References are not Innocent,"Markus Freitag, David Grangier and Isaac Caswell",Machine Translation and Multilinguality,Accept,Long Paper
2718,Bridging linguistic typology and multilingual machine translation with multi-view language representations,"Arturo Oncevay, Barry Haddow and Alexandra Birch",Machine Translation and Multilinguality,Accept,Long Paper
2212,Bridging the Gap between Prior and Posterior Knowledge Selection for Knowledge-Grounded Dialogue Generation,"Xiuyi Chen, Fandong Meng, Peng Li, Feilong Chen, Shuang Xu, Bo Xu and Jie Zhou",Dialog and Interactive Systems,Accept,Long Paper
2959,Calibrated Fine-Tuning for Pre-trained Language Models via Manifold Smoothing,"Lingkai Kong, Haoming Jiang, Yuchen Zhuang, Jie Lyu, Tuo Zhao and Chao Zhang",Machine Learning for NLP,Accept,Long Paper
894,Can Automatic Post-Editing Improve NMT?,"Shamil Chollampatt, Raymond Hendy Susanto, Liling Tan and Ewa Szymanska",Machine Translation and Multilinguality,Accept,Long Paper
3532,Can Emojis Convey Human Emotions? A Study to Understand the Association between Emojis and Emotions,Abu Awal Md Shoeb and Gerard de Melo,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
1603,CancerEmo: A Dataset for Fine-Grained Emotion Detection,Tiberiu Sosea and Cornelia Caragea,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
2322,CapWAP: Captioning with a Purpose,"Adam Fisch, Kenton Lee, Ming-Wei Chang, Jonathan Clark and Regina Barzilay","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
3291,Causal Inference of Script Knowledge,"Noah Weber, Rachel Rudinger and Benjamin Van Durme","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
1129,Chapter Captor: Text Segmentation in Novels,"Charuta Pethe, Allen Kim and Steve Skiena",NLP Applications,Accept,Long Paper
1938,Character-level Representations Still Improve Semantic Parsing in the Age of BERT,"Rik van Noord, Antonio Toral and Johan Bos","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
3336,CHARM: Inferring Personal Attributes from Conversations,"Anna Tigunova, Andrew Yates, Paramita Mirza and Gerhard Weikum",Information Extraction,Accept,Long Paper
55,CheXbert: Combining Automatic Labelers and Expert Annotations for Accurate Radiology Report Labeling Using BERT,"Akshay Smit, Saahil Jain, Pranav Rajpurkar, Anuj Pareek, Andrew Ng and Matthew Lungren",NLP Applications,Accept,Long Paper
349,ChiTeSQL: A Large-Scale and Pragmatic Chinese Text-to-SQL Dataset,"Lijie Wang, Ao Zhang, Kun Wu, Ke Sun, Zhenghua Li, Hua Wu, Min Zhang and Haifeng Wang","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
