date,format,startTime,endTime,sessionName,sessionLongName,sessionNumber,sessionTracks,paperID,paperTitle,paperAuthors
2020-11-16,plenary,10:45,11:00,Opening Remarks,,,,,,
2020-11-16,plenary,11:00,12:00,Keynote I,Keynote I: Claire Cardie,,,,,
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1A,"Zoom Q&A Session 1A: Sentiment Analysis, Stylistic Analysis, and Argument Mining",1A,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",438, Detecting Attackable Sentences in Arguments ,"Yohan Jo, Seojin Bang, Emaad Manzoor, Eduard Hovy and Chris Reed"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1A,"Zoom Q&A Session 1A: Sentiment Analysis, Stylistic Analysis, and Argument Mining",1A,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",440, Extracting Implicitly Asserted Propositions in Argumentation ,"Yohan Jo, Jacky Visser, Chris Reed and Eduard Hovy"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1A,"Zoom Q&A Session 1A: Sentiment Analysis, Stylistic Analysis, and Argument Mining",1A,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2688, Quantitative Argument Summarization and Beyond: Cross-Domain Key Point Analysis ,"Roy Bar-Haim, Yoav Kantor, Lilach Eden, Roni Friedman, Dan Lahav and Noam Slonim"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1A,"Zoom Q&A Session 1A: Sentiment Analysis, Stylistic Analysis, and Argument Mining",1A,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2996, Unsupervised Stance Detection for Arguments from Consequences ,"Jonathan Kobbe, Ioana HulpuИ™ and Heiner Stuckenschmidt"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1B,Zoom Q&A Session 1B: Machine Translation and Multilinguality,1B,Machine Translation and Multilinguality,84, BLEU might be Guilty but References are not Innocent ,"Markus Freitag, David Grangier and Isaac Caswell"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1B,Zoom Q&A Session 1B: Machine Translation and Multilinguality,1B,Machine Translation and Multilinguality,619, Statistical Power and Translationese in Machine Translation Evaluation ,"Yvette Graham, Barry Haddow and Philipp Koehn"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1B,Zoom Q&A Session 1B: Machine Translation and Multilinguality,1B,Machine Translation and Multilinguality,856, Simulated Multiple Reference Training Improves Low-Resource Machine Translation ,"Huda Khayrallah, Brian Thompson, Matt Post and Philipp Koehn"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1B,Zoom Q&A Session 1B: Machine Translation and Multilinguality,1B,Machine Translation and Multilinguality,888, Automatic Machine Translation Evaluation in Many Languages via Zero-Shot Paraphrasing ,Brian Thompson and Matt Post
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1B,Zoom Q&A Session 1B: Machine Translation and Multilinguality,1B,Machine Translation and Multilinguality,TACL1997, Unsupervised Quality Estimation for Neural Machine Translation ,"Marina Fomicheva, Shuo Sun, Lisa Yankovskaya, FrГ©dГ©ric Blain, Francisco GuzmГЎn, Mark Fishel, Nikolaos Aletras, Vishrav Chaudhary, Lucia Specia"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1C,Zoom Q&A Session 1C: Question Answering,1C,Question Answering,2054, PRover: Proof Generation for Interpretable Reasoning over Rules ,"Swarnadeep Saha, Sayan Ghosh, Shashank Srivastava and Mohit Bansal"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1C,Zoom Q&A Session 1C: Question Answering,1C,Question Answering,2228, Learning to Explain: Datasets and Models for Identifying Valid Reasoning Chains in Multihop Question-Answering ,Harsh Jhamtani and Peter Clark
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1C,Zoom Q&A Session 1C: Question Answering,1C,Question Answering,2640, Self-Supervised Knowledge Triplet Learning for Zero-Shot Question Answering ,Pratyay Banerjee and Chitta Baral
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1C,Zoom Q&A Session 1C: Question Answering,1C,Question Answering,2721, More Bang for Your Buck: Natural Perturbation for Robust Question Answering ,"Daniel Khashabi, Tushar Khot and Ashish Sabharwal"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1C,Zoom Q&A Session 1C: Question Answering,1C,Question Answering,TACL2049, What Does My QA Model Know? Devising Controlled Probes using Expert ,"Kyle Richardson, Ashish Sabharwal"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1D,Zoom Q&A Session 1D: Interpretability and Analysis of Models for NLP,1D,Interpretability and Analysis of Models for NLP,498, A Matter of Framing: The Impact of Linguistic Formalism on Probing Results ,Ilia Kuznetsov and Iryna Gurevych
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1D,Zoom Q&A Session 1D: Interpretability and Analysis of Models for NLP,1D,Interpretability and Analysis of Models for NLP,947, Information-Theoretic Probing with Minimum Description Length ,Elena Voita and Ivan Titov
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1D,Zoom Q&A Session 1D: Interpretability and Analysis of Models for NLP,1D,Interpretability and Analysis of Models for NLP,2122, Intrinsic Probing through Dimension Selection ,"Lucas Torroba Hennigen, Adina Williams and Ryan Cotterell"
2020-11-16,zoom,12:00,13:00,Zoom Q&A Session 1D,Zoom Q&A Session 1D: Interpretability and Analysis of Models for NLP,1D,Interpretability and Analysis of Models for NLP,2893, Learning Which Features Matter: RoBERTa Acquires a Preference for Linguistic Generalizations (Eventually) ,"Alex Warstadt, Yian Zhang, Xiaocheng Li, Haokun Liu and Samuel R. Bowman"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2A,Zoom Q&A Session 2A: Machine Learning for NLP,2A,Machine Learning for NLP,903, Repulsive Attention: Rethinking Multi-head Attention as Bayesian Inference ,"Bang An, Jie Lyu, Zhenyi Wang, Chunyuan Li, Changwei Hu, Fei Tan, Ruiyi Zhang, Yifan Hu and Changyou Chen"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2A,Zoom Q&A Session 2A: Machine Learning for NLP,2A,Machine Learning for NLP,1210, KERMIT: Complementing Transformer Architectures with Encoders of Explicit Syntactic Interpretations ,"Fabio Massimo Zanzotto, Andrea Santilli, Leonardo Ranaldi, Dario Onorati, Pierfrancesco Tommasino and Francesca Fallucchi"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2A,Zoom Q&A Session 2A: Machine Learning for NLP,2A,Machine Learning for NLP,1618, ETC: Encoding Long and Structured Inputs in Transformers ,"Joshua Ainslie, Santiago Ontanon, Chris Alberti, Vaclav Cvicek, Zachary Fisher, Philip Pham, Anirudh Ravula, Sumit Sanghai, Qifan Wang and Li Yang"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2A,Zoom Q&A Session 2A: Machine Learning for NLP,2A,Machine Learning for NLP,2343, Pre-Training Transformers as Energy-Based Cloze Models ,"Kevin Clark, Minh-Thang Luong, Quoc Le and Christopher D. Manning"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2A,Zoom Q&A Session 2A: Machine Learning for NLP,2A,Machine Learning for NLP,2615, Calibration of Pre-trained Transformers ,Shrey Desai and Greg Durrett
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2B,Zoom Q&A Session 2B: NLP Applications,2B,NLP Applications,TACL2047, Data Weighted Training Strategies for Grammatical Error Correction ,"Jared Lichtarge, Chris Alberti, Shankar Kumar"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2B,Zoom Q&A Session 2B: NLP Applications,2B,NLP Applications,328, Near-imperceptible Neural Linguistic Steganography via Self-Adjusting Arithmetic Coding ,"Jiaming Shen, Heng Ji and Jiawei Han"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2B,Zoom Q&A Session 2B: NLP Applications,2B,NLP Applications,802, Multi-Dimensional Gender Bias Classification ,"Emily Dinan, Angela Fan, Ledell Wu, Jason Weston, Douwe Kiela and Adina Williams"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2B,Zoom Q&A Session 2B: NLP Applications,2B,NLP Applications,2958, FIND: Human-in-the-Loop Debugging Deep Text Classifiers ,"Piyawat Lertvittayakumjorn, Lucia Specia and Francesca Toni"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2B,Zoom Q&A Session 2B: NLP Applications,2B,NLP Applications,1390, Conversational Document Prediction to Assist Customer Care Agents ,"Jatin Ganhotra, Haggai Roitman, Doron Cohen, Nathaniel Mills, Chulaka Gunasekara, Yosi Mass, Sachindra Joshi, Luis Lastras and David Konopnicki"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2C,Zoom Q&A Session 2C: Dialog and Interactive Systems,2C,Dialog and Interactive Systems,1219, Incremental Processing in the Age of Non-Incremental Encoders: An Empirical Assessment of Bidirectional Models for Incremental NLU ,Brielen Madureira and David Schlangen
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2C,Zoom Q&A Session 2C: Dialog and Interactive Systems,2C,Dialog and Interactive Systems,TACL2143, Task-Oriented Dialogue as Dataflow Synthesis ,"Jacob Andreas, John Bufe, David Burkett, Charles Chen, Josh Clausman, Jean Crawford, Kate Crim, Jordan DeLoach, Leah Dorner, Jason Eisner, Hao Fang, Alan Guo, David Hall, Kristin Hayes, Kellie Hill, Diana Ho, Wendy Iwaszuk, Smriti Jha, Dan Klein, Jayant Krishnamurthy, Theo Lanman, Percy Liang, Christopher Lin, Ilya Lintsbakh, Andy McGovern, Alexander Nisnevich, Adam Pauls, Brent Read, Dan Roth, Subhro Roy, Beth Short, Div Slomin, Ben Snyder, Stephon Striplin, Yu Su, Zachary Tellman, Sam Thomson, Andrei Vorobev, Izabela Witoszko, Jason Wolfe, Abby Wray, Yuchen Zhang, Alexander Zotov, Jesse Rusak, Dmitrij Petters"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2C,Zoom Q&A Session 2C: Dialog and Interactive Systems,2C,Dialog and Interactive Systems,148, Augmented Natural Language for Generative Sequence Labeling ,"Ben Athiwaratkun, CГ­cero Nogueira dos Santos, Jason Krone and Bing Xiang"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2C,Zoom Q&A Session 2C: Dialog and Interactive Systems,2C,Dialog and Interactive Systems,1700, Dialogue Response Ranking Training with Large-Scale Human Feedback Data ,"Xiang Gao, Yizhe Zhang, Michel Galley, Chris Brockett and Bill Dolan"
2020-11-16,zoom,13:00,14:00,Zoom Q&A Session 2D,"Zoom Q&A Session 2D: Semantics: Sentence-level Semantics, Textual Inference and Other areas",2D,"Semantics: Sentence-level Semantics, Textual Inference and Other areas",3544, Semantic Evaluation for Text-to-SQL with Distilled Test Suites ,"Ruiqi Zhong, Tao Yu and Dan Klein"
